Bijan Robinson
Bryce Young
C.J. Stroud
Jahmyr Gibbs
Jaxon Smith-Njigba
Quentin Johnston
Jordan Addison
Zach Evans
Will Levis
Kayshon Boutte
Anthony Richardson
Sean Tucker
Michael Mayer
Josh Downs
Tank Bigsby
Blake Corum
Zach Charbonnet
Jalin Hyatt
Zay Flowers
Marvin Mims Jr.
Darnell Washington
Rakim Jarrett
Jermaine Burton
Kendre Miller
